27.29	0.9459
52.45	1.7875
76.88	2.6856
101.84	2.8544
127.23	4.2771
152.07	4.9251
177.04	4.7584
201.96	4.8584
225.28	4.0616
244.55	3.1475
27.15	0.9475
52.35	2.2875
76.8	2.54
102.25	3.1675
127.45	2.9275
152.53	3.2491
177.8	5.24
203.01	5.6099
225.84	4.6544
245.64	4.8304
27.16	1.1144
51.45	1.2475
76.19	2.7339
100.84	2.3944
125.7	3.53
150.77	4.3771
175.43	4.2851
199.75	4.6075
223.15	6.6475
243.11	3.8779
27.28	1.1016
51.54	1.6684
76.15	1.8875
100.89	3.6579
125.16	3.5944
150.31	4.7139
175.52	4.4696
199.55	4.5875
222.29	5.8259
242.32	4.7176
27.32	0.6376
51.79	1.5859
76.51	2.2499
101.38	2.8956
126.17	2.9411
151.13	4.8331
176.45	4.6275
201.24	5.5224
224.29	4.6059
244.14	4.5004
26.71	0.7459
51.14	1.7004
75.81	2.8939
100.79	2.5059
125.22	3.0716
150.32	4.1576
174.87	4.5131
199.83	4.8811
223.14	4.9604
243.65	4.2275
27.11	0.7379
51.76	1.3824
76.84	2.1744
101.87	3.1131
126.65	4.1875
152.27	5.3371
176.84	4.5744
201.54	5.5684
225.11	5.3979
245.09	4.2219
27.73	0.8371
52.65	1.6875
78.03	2.1291
102.85	2.8475
128.49	3.9099
153.34	6.0644
178.96	5.1984
203.27	4.8571
227	6.84
246.5	4.11
26.83	0.8211
51.28	1.6616
75.81	2.7139
100.61	2.6979
125.75	3.4675
150.81	4.0139
175.43	5.7451
199.78	5.5916
222.68	5.6176
243.37	3.3731
27.05	0.8275
51.84	1.3344
76.43	2.5451
101.03	2.7291
125.89	3.7579
151.42	5.5036
176.44	4.2864
200.87	5.4931
224.35	5.1675
243.97	4.2691
26.94	0.9964
51.71	1.9059
75.98	2.5196
100.93	3.9851
125.89	3.5979
150.78	4.4116
175.88	5.3056
200.08	5.7936
223.74	5.4324
243.5	4.03
27.16	0.8744
51.65	1.5075
76.53	2.2091
101.16	2.7144
126.42	3.1036
151	4.6
176.46	4.7884
200.91	5.6619
223.9	5.45
243.69	3.3339
27.08	0.8536
51.32	1.7176
76.06	2.3964
100.55	2.3875
125.07	3.5051
150.34	4.0844
175.05	5.1675
199.82	6.1476
222.83	4.9011
242.62	4.0956
27.26	1.0324
52.16	1.3144
76.83	2.8611
102.28	2.5616
127.33	4.5011
152.02	5.2596
177.45	3.5275
202.1	4.35
225.16	4.6944
244.96	2.6784
27.29	0.8059
51.93	1.8051
76.86	2.4604
102.07	3.2451
127.32	3.6776
152.65	4.9275
177.95	5.8675
202.38	7.7156
225.77	5.6571
246.39	3.7779
26.9	0.83
51.58	1.6236
76.26	2.4124
101.41	2.9819
126.53	4.3691
151.96	4.3984
177.26	4.3324
201.14	5.2404
224.83	4.2611
244.98	3.9796
27.28	0.8416
51.99	1.5299
76.95	2.4875
101.35	3.0675
126.4	3.52
151.77	3.8571
176.48	4.7096
200.58	4.0036
223.52	5.1696
244.08	4.8536
27.2	1.14
51.97	1.6091
76.92	1.9136
102.06	2.2964
127.1	3.95
152.84	4.8344
177.05	4.4075
202.08	6.6936
225.1	5.35
245.04	3.4184
27.45	0.9875
52	2.12
76.52	3.0696
101.77	3.3371
126.19	3.0539
151.38	4.0556
176.31	5.7339
200.45	5.4675
224.22	5.6316
244.21	3.4259
27.53	0.8291
51.97	1.6691
76.95	2.2275
101.74	3.0724
126.91	2.9819
151.57	4.8451
176.4	4.86
201.06	4.4164
223.63	7.6931
244.22	3.3716
26.97	0.9091
51.29	1.5659
75.86	1.9804
100.35	2.2875
125.53	3.3091
150.44	3.8264
175.15	4.9075
199.67	5.3011
222.42	5.0636
243.3	5.17
27.22	0.9716
51.98	1.7996
76.58	2.4036
101.37	3.4331
126.46	4.0084
151.55	4.0075
176.34	4.3644
200.52	3.9896
223.83	6.8211
244.09	4.0219
26.99	0.7499
51.89	1.7179
76.54	3.3084
102.05	2.3875
127.48	3.8296
152.62	4.6156
178.09	4.9219
202.07	5.5851
225.86	3.9204
245.94	4.1564
27.07	0.9251
51.39	1.7579
75.98	2.6396
100.87	3.0131
126.04	3.1784
151.11	3.9179
176.1	4.51
200.87	4.8531
223.96	5.0784
243.92	3.1336
26.83	0.9411
51.29	1.3859
76.17	2.6411
101.22	2.7116
125.9	3.17
151.21	4.0059
176.1	4.53
200.9	5.15
224.02	5.5596
244.72	3.0016
27	0.72
51.56	1.5064
76.17	2.6611
101.34	3.9644
126.17	3.2811
151.2	4.6
176.09	4.3219
200.66	5.5044
223.84	4.3144
244.23	4.5171
26.96	0.8384
51.35	1.3075
76.09	2.4819
100.89	2.7579
125.92	4.2136
150.47	4.2891
175.52	5.1896
200.05	6.2475
223.13	4.3531
243.33	3.9611
27.37	0.7731
51.77	1.5771
76.6	1.96
101.7	2.97
126.87	3.7131
152.04	4.4184
176.71	4.1659
201.14	5.1004
224.07	5.3451
244.36	3.5504
27.6	0.72
51.71	1.4859
76.9	2.19
102.09	2.9419
127.37	4.6731
152.13	3.7731
177.44	5.0464
202.15	4.9075
225.38	5.4756
245.49	3.5099
27.47	0.7891
52.29	1.8859
77.27	2.0771
102.23	2.8171
126.89	2.3979
151.94	3.8364
177.81	4.9339
202.16	4.9544
225.37	4.3731
245.38	4.2356
27.53	0.8891
52.35	2.2275
77.59	2.3419
102.57	2.9251
127.67	4.1411
152.93	5.4051
178.44	6.3664
203.01	4.2699
225.98	4.0796
246.72	4.0816
26.79	0.9059
50.91	1.3619
75.49	2.2899
100.17	3.4411
124.58	3.2036
149.64	4.6904
174.28	4.5616
198.54	4.0084
221.76	5.4624
242.06	5.1164
26.87	0.8931
51.3	1.59
76.28	2.7016
101.42	2.3036
126.14	3.9204
151.07	3.6451
176.38	4.4356
201.24	5.1224
223.62	6.0156
244.2	4.14
27.28	0.9216
52.06	1.4164
76.99	1.8699
102.24	2.7624
127.32	3.7376
153.12	3.9656
178.45	4.0875
202.83	4.5011
226.48	4.1896
246.24	4.0224
27.26	0.8124
51.48	1.7096
76.05	2.7075
100.85	3.3275
125.51	2.8699
150.74	3.7724
176	5.9
200.05	5.3875
223.18	6.3276
243.77	4.9771
27.08	0.9336
51.55	1.4675
76.43	2.6451
101.56	3.0864
126.04	3.9984
151.06	2.8164
176.12	5.1256
200.59	5.5419
223.94	5.1564
244.2	2.72
27.83	0.8411
52.4	1.82
77.25	2.0675
102.52	2.6896
127.71	2.9859
153.05	5.8875
177.94	3.7164
202.51	5.7299
225.88	4.2856
245.53	3.8091
27.02	0.6796
51.35	1.4075
76.15	2.6675
100.83	2.9011
125.79	4.0459
150.41	3.3619
175.34	7.0044
199.31	5.9739
222.54	4.1284
242.89	3.0379
26.95	1.0675
51.81	2.1939
76.34	2.2844
101.56	3.5464
126.38	3.2956
151.53	3.8291
177.25	4.1875
200.92	3.2536
224.42	4.4236
244.95	3.8275
26.85	0.7875
50.94	1.2764
75.19	2.0739
100.2	3.9
124.99	4.1899
149.86	4.2404
174.35	5.3075
198.87	5.7131
221.93	5.2251
242.44	3.7664
27.5	0.91
52.06	2.1564
77.34	2.2644
102.17	2.2411
127.4	5.14
152.51	4.2899
178.14	5.0604
202.67	5.6811
225.31	3.7139
245.34	3.7444
26.84	0.9944
51.22	1.6716
76	2.02
100.57	3.7851
125.25	4.0475
150.42	3.0636
175.56	4.7264
200.13	5.8531
223.09	4.7219
242.8	2.76
27.71	0.9659
52.45	1.7675
77.39	2.6379
102.57	3.8451
127.88	3.9056
153.04	4.2384
178.34	6.0644
202.85	5.1075
225.89	5.1179
246.32	3.4376
26.75	0.9075
51.39	2.3379
75.85	2.1875
100.63	2.5731
125.69	3.9139
150.56	5.5664
176.03	5.0291
200.17	5.5011
223.76	5.4624
243.89	3.4979
26.94	0.8564
51.35	1.5075
76.19	2.5339
100.88	2.5856
125.89	4.0979
150.88	4.9456
