23.43	0.8851
45.98	1.1596
68.53	2.4091
91.46	2.3284
113.91	3.6019
136.9	4.35
159.8	4.28
181.98	4.2196
204.69	4.6139
226.13	4.5131
23.13	0.9931
45.93	1.1651
68.41	2.4819
91.14	2.4004
114.22	3.3516
137.05	4.2075
160.13	4.3331
183.02	4.8596
205.62	5.1956
226.4	4.12
23.25	0.6875
45.52	1.5496
68.05	1.9675
90.87	2.5131
113.5	2.89
136.18	4.7276
158.87	3.8331
181.3	4.39
203.53	4.9891
224.54	4.3284
23.35	0.7675
45.6	1.66
67.76	2.2824
90.25	2.6675
112.51	3.4699
135.63	4.0131
157.87	4.3331
180.17	4.3411
202.15	4.5875
223.55	6.3475
23.44	0.6664
45.74	1.0924
68.07	2.0051
90.9	2.81
113.41	3.9419
136.75	4.7075
159.34	3.7844
181.54	3.9684
203.79	4.3859
225.35	4.7875
22.67	0.8411
45	1.34
67.23	2.2371
89.88	2.7856
112.65	3.5875
135.48	3.3696
158.36	4.8104
180.75	5.3675
202.51	5.5099
223.73	5.0171
23.2	0.98
45.35	1.3075
67.96	2.5184
91.04	2.6984
113.61	3.1579
136.88	3.7456
159.35	4.3275
181.76	3.7824
204	5.94
225.54	4.5484
23.97	0.8691
46.37	1.4131
69.34	2.3844
92.33	1.9411
115.04	3.8384
138.41	2.8619
161.51	4.6099
184.22	4.8516
206.62	4.1956
227.89	4.8979
23.04	0.6184
45.19	1.1939
67.27	2.5171
90.29	2.3659
112.53	2.8691
135.38	3.7956
157.83	3.7011
180.87	4.3931
202.88	4.8456
223.78	6.1716
22.92	0.7936
45.45	1.3475
67.64	2.0504
90.62	3.1956
113.06	2.9564
136.18	2.7876
158.75	3.7875
181.83	4.1611
204.15	5.0675
225.14	5.0804
23.15	0.9675
45.41	1.3019
67.83	2.1411
90.79	2.5659
113.29	2.8259
136.52	4.0496
158.68	4.4776
181.26	4.4124
203.36	4.5104
224.89	5.7579
23.2	1.06
45.6	0.9
68.22	1.6316
90.76	2.0424
113.37	3.1331
136.27	4.2171
158.66	4.1644
182.05	4.7075
203.73	6.0971
224.79	5.2859
23.34	0.8644
45.34	1.5444
67.72	2.0216
90.33	2.9011
112.77	2.8371
135.26	3.4124
158.18	3.8676
180.52	3.2696
202.74	4.8124
223.96	5.6784
23.49	0.7499
45.91	1.3019
68.35	1.9875
91.47	3.0491
114.1	3.61
137.01	3.9299
160.35	5.3275
183.34	4.5444
205.31	6.4539
226.14	6.0604
23.29	0.7059
45.73	1.4771
68.24	2.0624
90.71	2.5859
114.21	3.0459
137.29	3.1859
159.75	3.5875
182.54	4.7484
204.98	5.5596
226.32	5.1976
23.01	0.8299
45.39	1.3179
67.76	2.1624
90.98	1.7996
113.52	4.3096
136.51	3.9699
159.56	4.7064
182.44	5.8864
204.15	5.7275
225.75	6.0475
23.37	0.6131
46.03	1.3691
68.5	2.25
91.03	2.1091
113.89	3.5579
136.68	4.0576
159.37	5.2931
181.75	4.2475
203.84	5.9944
224.68	4.5576
23.05	0.7275
45.81	1.4339
67.97	1.9291
91.14	2.4004
113.79	3.8859
136.94	4.6764
159.84	4.5744
182.16	5.2944
204.65	5.1475
225.72	5.9616
23.39	0.8179
45.89	1.4179
68.42	2.1236
90.73	2.3371
113.72	3.5816
136.33	4.1811
158.99	3.8499
181.61	5.7179
204.14	5.1404
225.18	6.2076
23.56	0.8264
45.83	1.2611
68.24	2.2024
90.97	2.5491
113.52	3.2496
136.67	3.7611
159.59	4.3419
181.67	5.0011
203.73	4.4771
224.73	4.5771
22.96	0.6584
45.35	1.3075
67.62	2.3956
90.45	2.5475
112.68	3.1376
135.8	3.92
158.01	5.1899
180.34	4.2044
202.31	5.2139
223.44	5.6064
23.35	0.6875
45.53	1.2691
67.86	1.9804
90.62	3.5956
113.28	4.2616
136.04	2.6784
158.82	4.3076
181.34	4.7244
203.84	6.2344
224.58	4.4636
23.06	0.6764
45.71	1.0459
68.12	2.2256
91	2.34
114.14	3.4804
137.55	4.3675
159.75	4.7275
182.7	4.03
204.99	5.0299
226.22	5.5116
22.93	0.5851
45.43	1.5251
67.7	1.93
90.23	3.1771
113.23	3.4571
135.71	4.0259
158.55	5.4475
180.94	5.7364
203.22	6.8516
224.79	5.7459
22.9	0.59
45.25	1.4275
67.52	1.6096
90.33	2.3211
113.49	2.6899
136.23	4.5371
159.07	3.4851
181.62	4.6956
203.41	4.3019
224.78	5.0116
23.14	0.6204
45.36	1.3704
67.46	2.1484
90.1	2.55
112.61	3.3979
135.37	3.4731
157.67	4.0811
180.53	5.8091
202.84	5.7344
223.83	5.3011
23.04	0.7984
45.13	1.2531
67.62	1.7756
90.33	1.9411
112.71	2.5459
135.35	4.6675
158.34	5.2244
180.18	4.5676
202.93	4.7451
223.43	4.3851
23.3	0.79
45.55	1.0875
67.82	2.1076
91.05	3.2875
113.26	4.0524
136.59	4.4619
159.28	4.3616
181.4	5.22
203.62	4.7156
224.63	4.3331
23.54	0.7884
46.03	1.4691
68.6	1.94
91.29	3.0659
113.98	3.6996
137.24	3.9424
159.47	4.8691
182.5	5.47
204.62	6.4156
225.51	5.6899
23.52	0.6896
45.92	1.3336
68.36	1.9304
91.06	2.6564
114.19	3.2739
136.71	4.9259
159.34	5.4044
182.21	4.1259
204.33	4.4411
225.68	3.8576
23.56	0.7064
45.88	1.5056
68.69	2.3539
91.41	2.0019
114.49	3.6899
137.37	4.8731
160.35	5.5075
183.22	6.3316
205.65	5.9875
227.1	5.23
22.81	0.9339
44.92	1.5736
67.1	1.69
89.72	1.9016
112.14	2.8804
134.7	3.31
156.85	4.2275
179.15	4.9475
201.43	3.9451
222.42	4.9836
22.88	0.5456
45.27	1.1571
67.68	2.0176
90.42	2.2836
113.13	3.2731
136.12	3.8256
158.55	3.9875
181.03	5.3291
203.11	5.6379
224.63	4.8731
23.21	0.6059
45.76	1.3624
68.4	1.72
91.08	3.1136
113.7	3.31
136.56	4.5664
159.35	4.0075
182.18	4.9676
204.53	5.0291
225.62	5.0156
23.15	0.9075
45.6	1.54
67.88	2.2456
90.29	2.6259
113.2	2.62
135.67	3.5411
158.14	3.9804
180.36	5.7504
203.01	5.5099
224.33	5.6211
23.09	0.7219
45.37	1.2731
67.54	1.9484
90.3	2.77
112.88	2.6256
135.7	3.75
158.17	4.4211
180.71	5.5859
202.57	5.0851
223.45	4.0475
23.6	0.9
46.1	1.25
68.29	1.6259
91.42	2.4236
113.94	3.3164
136.68	4.5976
159.59	3.7619
181.94	4.9364
204.81	4.9539
225.94	4.4964
23.15	0.8075
45.05	1.5075
67.39	1.8979
89.73	2.3171
112.39	2.7779
135.25	4.4075
157.33	4.8011
179.93	3.3251
201.58	5.7036
222.65	5.2475
23.19	0.6339
45.18	1.4876
67.91	2.7419
90.32	1.6576
113.24	3.4624
136.13	3.6131
158.44	4.0064
181.22	3.3116
203.18	4.7276
