22.25	5.8075
44.44	6.3664
66.4	7.88
89.26	7.6524
111.7	9.37
134.75	8.9675
157.19	9.6339
179.79	9.9659
202.15	9.2675
223.07	9.3451
23.32	0.6576
45.96	0.9384
68.4	2.08
91.11	2.9779
113.55	3.4275
136.42	3.4436
159.7	3.95
181.93	5.2851
204.41	5.2619
225.9	5.21
22.81	0.6139
44.79	1.4059
67.03	2.5091
89.42	2.7036
111.96	4.0984
135	4.22
157.2	5.04
179.31	5.6739
201.68	6.2176
223.23	3.2971
23.25	0.7675
45.74	1.2724
68.7	1.79
91.37	2.4931
114.2	2.8
137.56	3.6464
160.25	4.1675
182.72	4.0816
205.15	5.6475
226.46	5.0484
22.74	0.8124
45.06	1.5164
67.49	2.4899
90.13	3.1331
113.01	3.3899
136.09	3.5219
158.41	4.3419
181.02	4.4596
203.34	6.1044
224.85	3.7275
23.37	0.9131
45.81	1.6739
67.96	2.1784
90.7	2.71
113.72	3.0616
136.24	4.7224
159.16	5.1544
181.36	4.3304
203.71	4.6059
224.8	4.84
23.44	0.8064
45.88	1.4456
68.62	2.6156
91.51	1.7899
114.36	2.8904
137.2	4.26
159.71	4.8059
182.35	6.2675
204.77	4.4571
226.12	4.8456
23.31	0.7939
45.95	1.3875
68.82	1.8076
91.33	2.9411
114.41	3.2819
137.49	3.6099
160.3	5.53
182.91	3.9819
205.25	4.9675
226.33	4.3411
22.96	0.8584
45.5	1.45
67.7	2.25
90.37	2.4331
112.87	3.7131
136.21	4.1659
158.29	4.2059
181.33	4.9011
203.74	6.9724
224.43	4.3851
23.2	0.88
45.88	1.6656
68.36	2.5904
91.72	2.6216
114.18	2.6476
137.56	4.4064
160.16	3.5944
183.38	5.8956
205.64	4.6504
226.89	6.1979
23.16	0.7544
45.19	1.2739
67.43	1.7851
90.12	1.9256
112.42	3.5036
135.08	3.9536
157.52	4.8496
180.04	6.1584
201.92	6.2136
222.79	4.9059
23.3	0.61
45.35	1.3675
67.72	2.4416
90.58	3.0836
112.83	2.7011
136.06	4.6164
158.87	4.9131
180.87	5.4331
203.46	5.9084
224.3	5.53
23.47	0.9091
45.93	1.4251
68.37	2.1531
91.3	2.57
113.75	3.0875
136.8	3.62
159.45	5.4275
182.14	4.8204
204.18	5.9276
225.41	5.5019
23.37	0.9931
45.54	1.6284
68.14	1.7604
90.7	2.13
113.25	3.8275
136.48	3.2096
159.05	3.9875
181.93	4.9051
203.61	6.0379
225.02	4.4996
23.29	0.7259
45.5	1.29
68.13	2.3131
91.2	2.88
114.13	2.8131
136.58	3.9036
159.74	4.4924
182.44	4.8464
204.72	5.8016
225.74	6.2124
22.88	0.9056
45.33	1.8611
67.37	1.5931
90.1	3.57
112.86	2.7404
135.79	4.0259
158.29	3.7659
180.83	5.4011
203.34	6.8444
224.32	4.3376
23.3	0.71
45.38	1.3956
67.86	2.3604
90.4	2.38
112.87	3.7531
135.53	4.1891
158.01	4.3099
181	4.4
202.87	4.4531
224.22	5.4916
23.32	0.8176
45.48	1.5496
67.86	1.8204
90.68	2.2976
113.06	4.2164
136.14	3.6404
158.75	3.6875
181.51	4.6899
203.29	5.0859
224.1	4.85
23.15	0.7475
45.7	1.41
68.16	1.4544
